"Self_employed","Org_size","Mental_ill","Is_tech","Benefits","Anonymity","Absence","Coworkers","Ment_phy","Age","Gender","US_state","Country","US_state_work"
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Yes","Yes",25,"Male","Michigan","United States of America","Michigan"
"No","26-100","No","Yes","Yes","Yes","Neither easy nor difficult","Maybe","No",34,"Female","Michigan","United States of America","Michigan"
"No","More than 1000","No","No","Yes","Yes","Neither easy nor difficult","Maybe","Yes",37,"Male","","Canada",""
"No","More than 1000","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","I don't know",40,"Female","Washington","United States of America","Washington"
"No","100-500","No","Yes","Yes","I don't know","Somewhat difficult","Maybe","No",32,"Male","Texas","United States of America","Texas"
"No","26-100","No","Yes","I don't know","I don't know","Somewhat easy","Maybe","I don't know",38,"Male","","United Kingdom",""
"No","26-100","Yes","Yes","Yes","I don't know","Somewhat difficult","Maybe","No",31,"Female","Michigan","United States of America","Michigan"
"No","26-100","No","Yes","Yes","Yes","Very easy","Yes","Yes",28,"Female","Michigan","United States of America","Michigan"
"No","100-500","Yes","Yes","No","I don't know","Very difficult","No","No",27,"Female","","United Kingdom",""
"No","26-100","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","I don't know",28,"Female","Michigan","United States of America","Michigan"
"No","6-25","Yes","Yes","I don't know","I don't know","Somewhat easy","No","Yes",26,"Male","","Germany",""
"No","26-100","No","Yes","Yes","Yes","Very easy","Yes","Yes",40,"Male","Michigan","United States of America","Michigan"
"No","More than 1000","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes",42,"Male","Washington","United States of America","Washington"
"No","26-100","No","Yes","Yes","I don't know","Very easy","Maybe","Yes",36,"Male","Michigan","United States of America","Michigan"
"Yes","","No",NA,"","","","","",44,"Male","","United Kingdom",""
"No","500-1000","Yes","Yes","Yes","I don't know","Very difficult","Maybe","No",24,"Male","Michigan","United States of America","Michigan"
"No","100-500","No","No","I don't know","I don't know","Very difficult","No","No",44,"Male","Kansas","United States of America","Kansas"
"No","More than 1000","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Yes","I don't know",31,"Male","Washington","United States of America","Washington"
"Yes","","No",NA,"","","","","",49,"Male","Washington","United States of America","Washington"
"No","26-100","No","Yes","Yes","Yes","Very difficult","Maybe","I don't know",27,"Female","California","United States of America","California"
"No","More than 1000","No","Yes","Yes","I don't know","Somewhat easy","No","I don't know",27,"Male","Florida","United States of America","Florida"
"No","100-500","Yes","Yes","Yes","I don't know","I don't know","Maybe","I don't know",28,"Male","California","United States of America","California"
"No","6-25","Yes","Yes","Yes","I don't know","Very difficult","No","No",20,"Female","California","United States of America","California"
"Yes","","No",NA,"","","","","",41,"Male","","Germany",""
"No","100-500","Yes","No","No","I don't know","Neither easy nor difficult","Maybe","I don't know",38,"Male","","Australia",""
"No","100-500","No","Yes","I don't know","I don't know","Somewhat difficult","No","I don't know",29,"Male","California","United States of America","California"
"No","100-500","Yes","Yes","Yes","I don't know","Very easy","Maybe","No",44,"Female","Oregon","United States of America","Oregon"
"No","500-1000","No","Yes","I don't know","I don't know","Neither easy nor difficult","No","Yes",31,"Male","California","United States of America","California"
"No","6-25","Yes","Yes","No","No","Somewhat difficult","No","No",54,"Male","Idaho","United States of America","Virginia"
"No","500-1000","No","Yes","I don't know","I don't know","Somewhat easy","No","I don't know",33,"Male","","Germany",""
"No","6-25","No","Yes","No","No","I don't know","No","No",29,"Male","","Netherlands",""
"No","26-100","Yes","Yes","I don't know","I don't know","I don't know","Maybe","I don't know",26,"Others","","United Kingdom",""
"No","26-100","No","Yes","I don't know","I don't know","Somewhat easy","Yes","Yes",26,"Male","","United Kingdom",""
"Yes","","No",NA,"","","","","",34,"Male","","United Kingdom",""
"No","100-500","Yes","Yes","I don't know","I don't know","I don't know","No","I don't know",38,"Female","New York","United States of America","New Jersey"
"No","100-500","Yes","Yes","No","I don't know","Very easy","Maybe","I don't know",30,"Male","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",34,"Male","","United Kingdom",""
"No","More than 1000","Yes","Yes","Yes","Yes","Very easy","Maybe","Yes",47,"Female","","Australia",""
"No","100-500","Yes","No","Yes","I don't know","Very easy","Yes","Yes",33,"Female","","Switzerland",""
"No","More than 1000","No","No","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",22,"Male","","United Kingdom",""
"No","6-25","No","Yes","Not eligible for coverage / N/A","No","Somewhat difficult","No","I don't know",28,"Others","","United Kingdom",""
"No","500-1000","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes",31,"Male","","United Kingdom",""
"No","More than 1000","Yes","No","Not eligible for coverage / N/A","I don't know","Somewhat easy","Yes","No",24,"Male","","United Kingdom",""
"No","1-5","Yes","No","No","I don't know","Very difficult","Maybe","No",56,"Male","","Australia",""
"Yes","","Yes",NA,"","","","","",57,"Female","","Australia",""
"No","100-500","No","Yes","I don't know","Yes","I don't know","Maybe","I don't know",39,"Male","","United States of America","New York"
"No","1-5","Yes","Yes","No","I don't know","Somewhat difficult","Maybe","Yes",21,"Male","","United Kingdom",""
"No","500-1000","No","Yes","I don't know","I don't know","Very easy","Maybe","Yes",31,"Female","","Russia",""
"Yes","","Yes",NA,"","","","","",63,"Male","","United States of America","New York"
"Yes","","Yes",NA,"","","","","",46,"Male","","Australia",""
"No","6-25","Yes","Yes","I don't know","I don't know","Neither easy nor difficult","No","Yes",32,"Female","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",35,"Male","","United Kingdom",""
"No","100-500","No","Yes","Yes","I don't know","Very easy","Maybe","Yes",34,"Male","","United Kingdom",""
"No","6-25","Yes","Yes","Not eligible for coverage / N/A","I don't know","Neither easy nor difficult","Maybe","Yes",35,"Male","Illinois","United States of America","Illinois"
"No","26-100","No","Yes","No","Yes","Very easy","Maybe","Yes",31,"Male","","Norway",""
"Yes","","Yes",NA,"","","","","",35,"Female","Washington","United States of America","Washington"
"No","26-100","No","No","I don't know","I don't know","Somewhat easy","Yes","Yes",36,"Male","Indiana","United States of America","Indiana"
"No","26-100","Yes","Yes","Yes","I don't know","Somewhat difficult","Maybe","Yes",50,"Male","Minnesota","United States of America","Minnesota"
"No","6-25","Yes","Yes","I don't know","Yes","Very easy","Maybe","I don't know",31,"Male","Indiana","United States of America","Indiana"
"No","100-500","Yes","Yes","Yes","I don't know","I don't know","Yes","I don't know",47,"Male","Vermont","United States of America","Vermont"
"No","6-25","No","Yes","I don't know","I don't know","Very difficult","Maybe","I don't know",32,"Female","","Canada",""
"No","26-100","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Yes",23,"Female","","Canada",""
"No","6-25","Yes","Yes","Yes","I don't know","Somewhat difficult","Yes","Yes",43,"Female","","Canada",""
"No","6-25","No","Yes","Yes","I don't know","Neither easy nor difficult","Yes","Yes",26,"Female","","Canada",""
"No","26-100","No","Yes","I don't know","I don't know","I don't know","Maybe","I don't know",26,"Female","","Canada",""
"No","6-25","No","Yes","Yes","Yes","Very easy","Maybe","Yes",55,"Female","","Canada",""
"No","6-25","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","Yes",27,"Male","","Canada",""
"No","100-500","No","Yes","Not eligible for coverage / N/A","I don't know","Somewhat difficult","No","I don't know",34,"Male","","Argentina",""
"No","26-100","No","Yes","No","I don't know","Somewhat difficult","No","I don't know",25,"Male","","India",""
"No","26-100","No","No","I don't know","I don't know","Somewhat difficult","Maybe","I don't know",35,"Male","Indiana","United States of America","Indiana"
"Yes","","Yes",NA,"","","","","",37,"Male","","Netherlands",""
"No","26-100","Yes","Yes","Yes","I don't know","Very easy","Yes","Yes",38,"Female","Illinois","United States of America","Illinois"
"No","26-100","No","Yes","Yes","I don't know","Very difficult","Maybe","I don't know",29,"Male","","Canada",""
"No","500-1000","No","Yes","Yes","Yes","Somewhat easy","Yes","Yes",28,"Male","","United Kingdom",""
"No","6-25","Yes","Yes","Not eligible for coverage / N/A","I don't know","Somewhat easy","Yes","Yes",29,"Male","","United States of America","Washington"
"No","More than 1000","No","Yes","Yes","I don't know","Somewhat easy","Maybe","No",40,"Male","New York","United States of America","New York"
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Yes","Yes",25,"Female","Michigan","United States of America","Michigan"
"Yes","","No",NA,"","","","","",29,"Male","","Sweden",""
"No","26-100","Yes","Yes","Yes","I don't know","Somewhat easy","Yes","Yes",29,"Female","Minnesota","United States of America","Minnesota"
"No","1-5","Yes","Yes","Yes","I don't know","Very easy","Yes","Yes",35,"Male","","Netherlands",""
"Yes","","No",NA,"","","","","",25,"Male","New York","United States of America","New York"
"No","26-100","Yes","Yes","No","I don't know","Somewhat difficult","Maybe","I don't know",43,"Male","Virginia","United States of America","Virginia"
"No","6-25","No","Yes","No","I don't know","Very easy","Yes","Yes",26,"Male","","Ireland",""
"No","100-500","No","Yes","I don't know","I don't know","Very easy","No","I don't know",31,"Male","","Germany",""
"No","100-500","No","Yes","Yes","Yes","Very easy","Maybe","Yes",31,"Female","Illinois","United States of America","Illinois"
"No","More than 1000","Yes","No","I don't know","I don't know","Somewhat difficult","No","No",45,"Female","Texas","United States of America","Texas"
"No","More than 1000","No","Yes","No","No","Somewhat easy","No","I don't know",23,"Male","","Italy",""
"No","6-25","No","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","I don't know",39,"Male","Rhode Island","United States of America","Rhode Island"
"No","26-100","No","Yes","Yes","I don't know","Somewhat easy","Yes","Yes",27,"Female","Illinois","United States of America","Illinois"
"No","100-500","Yes","Yes","Yes","I don't know","Very easy","Yes","I don't know",28,"Male","Illinois","United States of America","Illinois"
"No","500-1000","No","Yes","I don't know","I don't know","I don't know","Maybe","No",36,"Male","Pennsylvania","United States of America","Pennsylvania"
"No","100-500","No","Yes","I don't know","I don't know","Somewhat difficult","Maybe","No",22,"Male","","Germany",""
"No","1-5","No","Yes","Yes","No","Neither easy nor difficult","Maybe","I don't know",51,"Male","California","United States of America","California"
"Yes","","No",NA,"","","","","",39,"Male","","Denmark",""
"Yes","","No",NA,"","","","","",36,"Male","Oregon","United States of America","Oregon"
"No","More than 1000","Yes","No","Not eligible for coverage / N/A","I don't know","Somewhat difficult","Yes","I don't know",28,"Male","Kansas","United States of America","Kansas"
"No","100-500","No","Yes","I don't know","Yes","I don't know","No","I don't know",40,"Male","Illinois","United States of America","Illinois"
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Yes","Yes",35,"Female","Minnesota","United States of America","Minnesota"
"No","100-500","Yes","Yes","Yes","I don't know","Somewhat difficult","No","No",38,"Male","California","United States of America","California"
"No","100-500","No","Yes","Yes","I don't know","I don't know","No","I don't know",29,"Male","Michigan","United States of America","California"
"Yes","","No",NA,"","","","","",43,"Male","","Netherlands",""
"No","500-1000","Yes","Yes","Yes","I don't know","Somewhat easy","Yes","I don't know",31,"Female","Oregon","United States of America","Oregon"
"No","100-500","No","Yes","No","I don't know","Somewhat difficult","Maybe","No",45,"Male","Vermont","United States of America","Vermont"
"No","100-500","No","Yes","I don't know","I don't know","Somewhat easy","Maybe","No",26,"Male","Texas","United States of America","Texas"
"No","100-500","No","Yes","Yes","Yes","Very easy","Yes","Yes",42,"Male","Maryland","United States of America","Maryland"
"No","100-500","No","Yes","Yes","Yes","Somewhat easy","Maybe","Yes",28,"Female","New York","United States of America","New York"
"No","6-25","No","Yes","Not eligible for coverage / N/A","I don't know","I don't know","Yes","I don't know",28,"Male","","United Kingdom",""
"No","100-500","Yes","Yes","Yes","I don't know","I don't know","Yes","Yes",39,"Female","California","United States of America","California"
"No","6-25","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","Yes",34,"Male","New York","United States of America","New York"
"No","26-100","Yes","Yes","I don't know","I don't know","Somewhat easy","Yes","Yes",28,"Female","Pennsylvania","United States of America","Pennsylvania"
"No","500-1000","No","Yes","Yes","Yes","Somewhat easy","Maybe","Yes",35,"Female","California","United States of America","California"
"No","6-25","No","Yes","I don't know","Yes","Neither easy nor difficult","Maybe","Yes",42,"Male","","Canada",""
"No","6-25","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes",99,"Others","Michigan","United States of America","Michigan"
"Yes","","Yes",NA,"","","","","",29,"Male","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",34,"Male","","Finland",""
"No","26-100","No","Yes","Yes","I don't know","I don't know","Maybe","I don't know",28,"Male","","Canada",""
"No","500-1000","No","Yes","I don't know","I don't know","Very easy","No","Yes",22,"Female","","Russia",""
"No","26-100","Yes","Yes","Yes","Yes","Neither easy nor difficult","Maybe","No",28,"Female","California","United States of America","California"
"Yes","","Yes",NA,"","","","","",26,"Female","Illinois","United States of America","Illinois"
"No","More than 1000","No","No","Yes","Yes","I don't know","Maybe","I don't know",21,"Female","","Australia",""
"No","26-100","Yes","Yes","No","No","Somewhat easy","Yes","No",38,"Male","","Netherlands",""
"No","More than 1000","Yes","No","Yes","I don't know","Somewhat easy","Maybe","Yes",33,"Male","California","United States of America","California"
"No","100-500","No","Yes","Yes","Yes","Very easy","Maybe","I don't know",28,"Female","California","United States of America","California"
"No","26-100","Yes","Yes","Yes","Yes","Very easy","Maybe","Yes",32,"Male","California","United States of America","California"
"No","1-5","Yes","Yes","Not eligible for coverage / N/A","I don't know","Somewhat difficult","No","I don't know",24,"Female","","Australia",""
"No","500-1000","Yes","Yes","I don't know","I don't know","Somewhat easy","Maybe","No",35,"Male","California","United States of America","California"
"Yes","","No",NA,"","","","","",41,"Male","California","Turkey",""
"Yes","","No",NA,"","","","","",38,"Female","New Jersey","United States of America","New Jersey"
"No","More than 1000","Yes","Yes","I don't know","I don't know","Somewhat difficult","Maybe","No",24,"Female","New York","United States of America","New York"
"No","100-500","Yes","Yes","Yes","I don't know","Very easy","Yes","I don't know",30,"Male","Illinois","United States of America","Illinois"
"No","100-500","No","Yes","Yes","Yes","I don't know","No","I don't know",47,"Female","California","United States of America","California"
"No","More than 1000","No","Yes","Yes","Yes","Somewhat easy","No","I don't know",26,"Female","Washington","United States of America","Washington"
"No","100-500","Yes","Yes","Yes","I don't know","Somewhat easy","No","Yes",32,"Male","Florida","United States of America","Florida"
"No","100-500","No","Yes","I don't know","I don't know","Neither easy nor difficult","No","I don't know",32,"Male","California","United States of America","California"
"No","500-1000","Yes","Yes","I don't know","I don't know","Somewhat easy","Yes","Yes",37,"Male","New York","United States of America","New York"
"Yes","","No",NA,"","","","","",33,"Male","","Netherlands",""
"No","6-25","No","Yes","No","I don't know","Somewhat easy","No","Yes",28,"Female","","United Kingdom",""
"No","26-100","No","Yes","I don't know","Yes","Somewhat easy","Maybe","Yes",22,"Male","","Netherlands",""
"No","500-1000","No","Yes","I don't know","I don't know","Somewhat easy","Maybe","Yes",30,"Male","California","United States of America","California"
"Yes","","Yes",NA,"","","","","",42,"Female","California","United States of America","California"
"No","100-500","No","Yes","Yes","Yes","Somewhat easy","Maybe","I don't know",34,"Male","California","United States of America","California"
"No","6-25","Yes","Yes","Yes","Yes","Very easy","No","Yes",32,"Male","California","United States of America","California"
"No","100-500","Yes","Yes","No","I don't know","Somewhat easy","Yes","I don't know",37,"Male","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",31,"Female","California","United States of America","California"
"No","26-100","Yes","Yes","I don't know","I don't know","Very easy","Maybe","Yes",31,"Male","Florida","United States of America","California"
"No","26-100","No","No","No","I don't know","Very easy","Maybe","I don't know",26,"Male","","Colombia",""
"Yes","","No",NA,"","","","","",30,"Male","California","United States of America","California"
"No","100-500","Yes","Yes","Yes","I don't know","I don't know","Maybe","No",36,"Male","Minnesota","United States of America","Minnesota"
"No","100-500","Yes","Yes","Yes","I don't know","I don't know","No","I don't know",38,"Male","Missouri","United States of America","California"
"No","26-100","Yes","Yes","Yes","I don't know","Somewhat easy","Yes","I don't know",24,"Male","Alabama","United States of America","Alabama"
"No","100-500","No","Yes","I don't know","I don't know","Somewhat difficult","No","I don't know",26,"Male","California","United States of America","California"
"No","More than 1000","Yes","Yes","Yes","I don't know","I don't know","Maybe","I don't know",37,"Male","California","United States of America","California"
"No","26-100","Yes","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","No",27,"Female","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",32,"Male","","Switzerland",""
"No","26-100","No","Yes","Yes","Yes","Very easy","Yes","Yes",32,"Male","","Netherlands",""
"No","6-25","Yes","No","Yes","No","Neither easy nor difficult","Yes","Yes",30,"Male","","Netherlands",""
"No","26-100","Yes","Yes","No","I don't know","Very difficult","Yes","Yes",26,"Female","","Germany",""
"Yes","","Yes",NA,"","","","","",27,"Female","","United Kingdom",""
"Yes","","Yes",NA,"","","","","",27,"Male","","Netherlands",""
"No","26-100","No","Yes","Not eligible for coverage / N/A","I don't know","I don't know","Maybe","I don't know",29,"Male","","Colombia",""
"No","26-100","Yes","Yes","Yes","I don't know","I don't know","Yes","I don't know",26,"Others","","Germany",""
"No","100-500","No","Yes","Yes","I don't know","Somewhat difficult","Maybe","No",23,"Female","California","United States of America","California"
"No","100-500","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes",30,"Male","California","United States of America","California"
"No","More than 1000","Yes","No","Yes","I don't know","Somewhat difficult","No","No",40,"Male","Indiana","United States of America","Indiana"
"No","100-500","Yes","Yes","I don't know","I don't know","Very difficult","No","I don't know",46,"Male","California","United States of America","California"
"No","26-100","No","Yes","I don't know","I don't know","I don't know","Yes","I don't know",26,"Male","Colorado","United States of America","Colorado"
"No","More than 1000","No","Yes","Yes","Yes","I don't know","No","I don't know",30,"Male","California","United States of America","California"
"No","100-500","No","Yes","No","I don't know","I don't know","No","I don't know",27,"Female","","United States of America","California"
"Yes","","Yes",NA,"","","","","",35,"Male","Florida","United States of America","Indiana"
"No","26-100","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","No",26,"Female","California","United States of America","California"
"No","100-500","No","Yes","I don't know","I don't know","Somewhat easy","Yes","I don't know",35,"Male","","Australia",""
"No","26-100","No","No","I don't know","I don't know","Somewhat easy","Maybe","Yes",29,"Male","","Netherlands",""
"No","100-500","No","Yes","I don't know","Yes","Very easy","Yes","Yes",34,"Male","","United Kingdom",""
"Yes","","No",NA,"","","","","",27,"Male","California","United States of America","California"
"No","100-500","No","Yes","No","Yes","I don't know","Maybe","I don't know",39,"Male","","United Kingdom",""
"No","100-500","No","Yes","I don't know","I don't know","Somewhat easy","Yes","Yes",27,"Male","","United Kingdom",""
"No","500-1000","Yes","Yes","No","I don't know","Somewhat easy","Maybe","I don't know",31,"Male","","Czech Republic",""
"No","26-100","No","No","No","I don't know","Somewhat difficult","No","No",26,"Male","","United Kingdom",""
"No","26-100","No","Yes","Yes","Yes","Neither easy nor difficult","Yes","I don't know",44,"Male","North Carolina","United States of America","North Carolina"
"No","100-500","No","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","I don't know",27,"Male","California","United States of America","California"
"No","100-500","Yes","No","Yes","I don't know","Somewhat easy","Maybe","I don't know",57,"Female","Iowa","United States of America","Iowa"
"Yes","","No",NA,"","","","","",34,"Male","","United States of America","Illinois"
"Yes","","Yes",NA,"","","","","",38,"Male","Ohio","United States of America","Ohio"
"Yes","","Yes",NA,"","","","","",55,"Male","Illinois","United States of America","Illinois"
"Yes","","No",NA,"","","","","",28,"Male","","Costa Rica",""
"No","More than 1000","No","No","I don't know","No","Neither easy nor difficult","No","I don't know",35,"Male","Michigan","United States of America","Michigan"
"No","100-500","Yes","Yes","Yes","I don't know","Somewhat difficult","Maybe","Yes",26,"Male","New York","United States of America","New York"
"No","6-25","No","Yes","I don't know","Yes","Very easy","Maybe","Yes",22,"Female","New York","United States of America","New York"
"No","100-500","No","Yes","I don't know","I don't know","Somewhat easy","Maybe","I don't know",31,"Male","California","United States of America","California"
"No","26-100","No","Yes","I don't know","No","Somewhat difficult","No","I don't know",31,"Male","","United Kingdom",""
"Yes","","No",NA,"","","","","",40,"Male","","Germany",""
"No","More than 1000","Yes","No","Yes","Yes","Neither easy nor difficult","Maybe","No",26,"Male","New York","United States of America","New York"
"No","1-5","No","Yes","No","No","Very difficult","No","I don't know",36,"Male","Georgia","United States of America","Georgia"
"No","26-100","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes",33,"Male","Illinois","United States of America","Illinois"
"No","500-1000","Yes","Yes","Yes","I don't know","Very easy","Yes","I don't know",24,"Female","New York","United States of America","New York"
"No","6-25","No","Yes","No","I don't know","Very easy","No","No",22,"Male","","Vietnam",""
"No","6-25","Yes","Yes","Yes","I don't know","Somewhat difficult","Maybe","Yes",33,"Male","Indiana","United States of America","Indiana"
"No","More than 1000","Yes","Yes","Yes","I don't know","Somewhat easy","Maybe","No",37,"Female","California","United States of America","California"
"No","6-25","No","Yes","Yes","I don't know","Very easy","Yes","Yes",29,"Male","Washington","United States of America","Ohio"
"No","1-5","No","No","Not eligible for coverage / N/A","Yes","Neither easy nor difficult","Yes","Yes",38,"Male","Tennessee","United States of America","Tennessee"
"No","1-5","No","Yes","No","I don't know","Neither easy nor difficult","No","I don't know",33,"Male","Minnesota","United States of America","Minnesota"
"No","1-5","Yes","Yes","I don't know","I don't know","Neither easy nor difficult","No","No",44,"Female","","Canada",""
"No","6-25","Yes","No","Yes","I don't know","Somewhat easy","Maybe","I don't know",23,"Male","Minnesota","United States of America","Minnesota"
"Yes","","No",NA,"","","","","",30,"Male","Nebraska","United States of America","Nebraska"
"No","More than 1000","Yes","No","I don't know","I don't know","Very difficult","No","No",30,"Male","Tennessee","United States of America","Tennessee"
"No","26-100","No","Yes","Yes","I don't know","Neither easy nor difficult","Yes","I don't know",28,"Male","Nebraska","United States of America","Nebraska"
"No","26-100","No","Yes","Yes","No","Somewhat easy","Maybe","No",39,"Male","West Virginia","United States of America","West Virginia"
"No","6-25","Yes","Yes","No","I don't know","Somewhat difficult","No","I don't know",24,"Female","California","United States of America","California"
"Yes","","Yes",NA,"","","","","",27,"Male","","United Kingdom",""
"No","More than 1000","Yes","No","Yes","I don't know","Somewhat easy","Maybe","Yes",35,"Male","Tennessee","United States of America","Tennessee"
"No","6-25","No","Yes","No","I don't know","Neither easy nor difficult","Yes","I don't know",23,"Male","Nebraska","United States of America","Nebraska"
"No","More than 1000","No","No","Yes","Yes","Very easy","Maybe","I don't know",37,"Male","Tennessee","United States of America","Tennessee"
"No","6-25","No","Yes","Yes","I don't know","Somewhat easy","Maybe","I don't know",35,"Male","Tennessee","United States of America","Tennessee"
"No","26-100","No","No","Yes","Yes","Neither easy nor difficult","Maybe","Yes",27,"Male","Tennessee","United States of America","Tennessee"
"No","1-5","No","Yes","I don't know","I don't know","Very easy","Maybe","Yes",27,"Female","Nevada","United States of America","Nevada"
"No","More than 1000","No","Yes","Yes","I don't know","Somewhat difficult","No","I don't know",27,"Female","Nebraska","United States of America","Nebraska"
"No","6-25","Yes","Yes","I don't know","I don't know","Somewhat easy","No","I don't know",42,"Male","Nebraska","United States of America","Nebraska"
"No","6-25","No","No","Yes","Yes","Somewhat difficult","No","No",32,"Male","Illinois","United States of America","Illinois"
"No","6-25","Yes","Yes","I don't know","I don't know","I don't know","Maybe","I don't know",26,"Male","","Finland",""
"No","100-500","No","Yes","I don't know","I don't know","Neither easy nor difficult","No","I don't know",28,"Male","","Bulgaria",""
"No","6-25","No","Yes","I don't know","I don't know","I don't know","No","I don't know",28,"Male","Nebraska","United States of America","Nebraska"
"No","100-500","Yes","Yes","Yes","Yes","I don't know","No","I don't know",32,"Male","Nebraska","United States of America","Nebraska"
"Yes","","No",NA,"","","","","",43,"Male","Texas","United States of America","Texas"
"No","26-100","Yes","Yes","Yes","I don't know","Neither easy nor difficult","Maybe","No",34,"Male","Indiana","United States of America","Indiana"
"No","6-25","No","Yes","I don't know","No","Neither easy nor difficult","No","I don't know",61,"Female","Colorado","United States of America","Colorado"
"Yes","","Yes",NA,"","","","","",50,"Male","Oregon","United States of America","Oregon"
"Yes","","Yes",NA,"","","","","",38,"Male","","India",""
"No","6-25","Yes","No","Not eligible for coverage / N/A","I don't know","I don't know","Maybe","No",51,"Male","","Germany",""
"Yes","","Yes",NA,"","","","","",38,"Male","","Ireland",""
"No","500-1000","Yes","Yes","I don't know","I don't know","Very easy","Yes","Yes",34,"Male","Pennsylvania","United States of America","Pennsylvania"
"No","6-25","Yes","Yes","No","I don't know","Somewhat difficult","Yes","No",43,"Male","Maryland","United States of America","Maryland"
"No","100-500","No","Yes","Yes","I don't know","Somewhat difficult","No","I don't know",43,"Female","California","United States of America","California"
"No","6-25","Yes","Yes","No","I don't know","Somewhat difficult","No","I don't know",44,"Male","California","United States of America","California"
"No","100-500","Yes","Yes","I don't know","I don't know","Very easy","Maybe","I don't know",35,"Male","California","United States of America","California"
"No","26-100","No","Yes","Yes","I don't know","Very easy","Maybe","Yes",50,"Male","Texas","United States of America","Texas"
"No","100-500","Yes","Yes","Yes","Yes","Very difficult","Maybe","I don't know",29,"Male","Minnesota","United States of America","Minnesota"
"No","100-500","Yes","Yes","Yes","I don't know","Very easy","Yes","Yes",29,"Male","New York","United States of America","New York"
"No","500-1000","No","No","Yes","I don't know","Very easy","Yes","Yes",36,"Male","","Canada",""
"Yes","","No",NA,"","","","","",33,"Male","","Australia",""
"Yes","","Yes",NA,"","","","","",50,"Male","","Australia",""
"No","More than 1000","Yes","Yes","I don't know","I don't know","I don't know","No","No",46,"Male","Virginia","United States of America","Virginia"
"Yes","","Yes",NA,"","","","","",44,"Female","","New Zealand",""
"No","More than 1000","No","Yes","Yes","No","Very difficult","Maybe","No",23,"Others","Oregon","United States of America","Oregon"
"No","6-25","Yes","Yes","I don't know","I don't know","Neither easy nor difficult","Maybe","No",41,"Male","Washington","United States of America","Washington"
"No","More than 1000","No","Yes","Yes","I don't know","Somewhat easy","Maybe","I don't know",31,"Male","","Canada",""
"No","1-5","Yes","Yes","No","No","Very difficult","No","No",55,"Male","Illinois","United States of America","Illinois"
"No","26-100","No","Yes","No","I don't know","Very difficult","Maybe","No",34,"Male","Michigan","United States of America","Michigan"
"No","6-25","No","Yes","Yes","I don't know","Somewhat difficult","Yes","Yes",28,"Female","Michigan","United States of America","Michigan"
"No","6-25","Yes","Yes","Yes","I don't know","Very difficult","Maybe","I don't know",33,"Male","Florida","United States of America","Florida"
"No","100-500","Yes","Yes","Yes","No","Neither easy nor difficult","Maybe","No",29,"Male","California","United States of America","California"
"No","More than 1000","Yes","No","Yes","Yes","Somewhat difficult","Maybe","Yes",33,"Female","Tennessee","United States of America","Tennessee"
"Yes","","No",NA,"","","","","",28,"Male","California","United States of America","California"
"No","More than 1000","Yes","Yes","Yes","I don't know","I don't know","No","I don't know",28,"Male","California","United States of America","California"
"No","26-100","No","Yes","Yes","I don't know","I don't know","Yes","Yes",32,"Male","California","United States of America","California"
"No","6-25","No","Yes","Yes","I don't know","Neither easy nor difficult","No","I don't know",36,"Female","Oregon","United States of America","Oregon"
"No","More than 1000","No","No","I don't know","Yes","Somewhat easy","No","I don't know",45,"Male","","United Kingdom",""
"Yes","","No",NA,"","","","","",29,"Male","","United Kingdom",""
"No","More than 1000","No","No","No","I don't know","Somewhat easy","No","I don't know",23,"Male","","France",""
"Yes","","Yes",NA,"","","","","",54,"Female","","Canada",""
"Yes","","Yes",NA,"","","","","",61,"Female","California","United States of America","California"
"No","26-100","Yes","Yes","I don't know","I don't know","I don't know","No","No",29,"Female","Illinois","United States of America","Illinois"
"No","26-100","Yes","Yes","Not eligible for coverage / N/A","I don't know","Neither easy nor difficult","No","I don't know",31,"Male","","Australia",""
"Yes","","No",NA,"","","","","",37,"Male","New Jersey","United States of America","California"
"No","6-25","Yes","Yes","No","No","Somewhat difficult","No","I don't know",29,"Male","","Germany",""
"Yes","","No",NA,"","","","","",28,"Male","","United Kingdom",""
